middleBizName,lowerBizName
생활서비스,퀵서비스
생활서비스,택배
생활서비스,화장실
생활용품,다이소
생활용품,드럭스토어
생활용품,생활용품기타
생활편의기타,생활편의기타
쇼핑기타,농업용품관련
쇼핑기타,쇼핑기타
쇼핑기타,일반상가
숙박,게스트하우스
숙박,모텔/여관
숙박,민박
숙박,산장
숙박,숙박기타
숙박,유스호스텔
숙박,전통숙소
숙박,콘도/리조트
숙박,펜션
숙박,호텔
술집,꼬치전문점
술집,나이트클럽
술집,룸사롱/단란주점
술집,민속주점
술집,바
술집,술집기타
술집,일본선술집
술집,포장마차/실내포장마차
술집,호프
슈퍼/마트,대형마트
슈퍼/마트,대형슈퍼
슈퍼/마트,슈퍼/마트 기타
시장,농수축산물시장
시장,시장기타
시장,재래시장
시장,종합시장
아울렛,롯데아울렛
아울렛,신세계프리미엄아울렛
아울렛,아울렛기타
아울렛,현대아울렛
언론기관,라디오방송국
언론기관,방송사
언론기관,신문사
언론기관,언론기관기타
언론기관,잡지사
언론기관,출판사
업종별기업,IT H/W
업종별기업,IT S/W & 서비스
업종별기업,건설업
업종별기업,기계
업종별기업,반도체
업종별기업,비금속 광물
업종별기업,서비스업
업종별기업,섬유의복
업종별기업,업종별기업기타
업종별기업,운수장비
업종별기업,운수창고업
업종별기업,유통업
업종별기업,음식료업
업종별기업,의료정밀
업종별기업,의약품
업종별기업,인터넷
업종별기업,전기가스업
업종별기업,전기전자
업종별기업,제조업
업종별기업,종이 목재
업종별기업,철강 금속
업종별기업,통신방송서비스
업종별기업,통신업
업종별기업,화학
엔터테인먼트,기획
엔터테인먼트,만화/에니메이션
엔터테인먼트,모델/연예
엔터테인먼트,엔터테인먼트기타
엔터테인먼트,연극
엔터테인먼트,영화
엔터테인먼트,프로덕션
여행/레저기타,여행/레저기타
연구기관,국공립
연구기관,민간경제연구소
연구기관,민간연구소
연구기관,연구기관기타
연구기관,정부출연연구기관
외국기관,대사관
외국기관,영사관
외국기관,외국관련단체
외국기관,외국기관기타
외국기관,외국문화원
음식료,건강식품
음식료,농수축산물점
음식료,반찬가게
음식료,음식료기타
음식료,정육점
음식료,주류
음식점,다이어트/샐러드
음식점,도시락전문
음식점,떡/한과
음식점,배달음식점
음식점,부페
음식점,분식
음식점,샤브샤브
음식점,세계요리
음식점,시설내 음식점
음식점,음식점기타
음식점,일식
음식점,전문음식점
음식점,제과점
음식점,죽
음식점,중식
음식점,치킨
음식점,패밀리레스토랑
음식점,패스트푸드
음식점,한식
의료시설,국군병원
의료시설,국립의료원
의료시설,보건소/지소
의료시설,요양병원
의료시설,응급실
의료시설,의료시설기타
의료시설,의원
의료시설,일반병원
의료시설,전문클리닉
의료시설,정신병원
의료시설,종합병원
의료시설,한방병원
의료시설,한의원
의료편의기타,의료편의기타
의류/직물,남성복
의류/직물,내의판매점
의류/직물,수입명품
의류/직물,스포츠·캐주얼의류
의류/직물,양품점
